Disaster,Location,District,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Ambalama,Puttalam,5,27,14.2,1
Cyclone,Mahameddewa,Puttalam,3,26,8.0,1
Cyclone,Weralabada,Puttalam,6,22,17.4,1
Cyclone,Kawayankulama,Puttalam,10,9,11.0,1
Cyclone,Wattakkaliya,Puttalam,12,6,12.3,1
Cyclone,Pahala Kudawewa,Puttalam,9,9,15.2,1
Cyclone,Wattakkaliya,Puttalam,12,9,12.3,0
Cyclone,Puhulhena,Puttalam,6,20,17.4,1
Cyclone,Muhudukattuwa South,Puttalam,12,27,12.3,0
Cyclone,Kalpitiya,Puttalam,9,29,15.2,1
Cyclone,Panagoda,Puttalam,10,5,11.0,1
Cyclone,Periya Kurukupane,Puttalam,1,27,12.8,0
Cyclone,Muttibendivila,Puttalam,4,27,8.2,1
Cyclone,Nattandiya,Puttalam,12,30,12.3,0
Cyclone,Mudukattuwa North,Puttalam,5,7,14.2,0
Cyclone,Milankulama,Puttalam,2,11,10.7,1
Cyclone,Wennappuwa,Puttalam,1,2,12.8,0
Cyclone,Thiladiya,Puttalam,10,4,11.0,0
Cyclone,Mudukatuwa South,Puttalam,9,8,15.2,0
Cyclone,Puttalam,Puttalam,5,20,14.2,1
Cyclone,Kudirippuwa,Puttalam,5,11,14.2,0
Cyclone,Vanathavilluwa,Puttalam,9,5,15.2,1
Cyclone,Lansiyagama,Puttalam,10,17,11.0,1
Cyclone,Palaviya,Puttalam,4,27,8.2,1
Cyclone,Kottapitiya,Puttalam,6,9,17.4,1
Cyclone,Weralabada,Puttalam,7,15,16.9,1
Cyclone,Mudukatuwa South,Puttalam,5,20,14.2,1
Cyclone,Lansiyagama,Puttalam,5,20,14.2,1
Cyclone,Dankotuwa,Puttalam,10,28,11.0,1
Cyclone,Ambakandavila,Puttalam,5,18,14.2,0
Cyclone,Maligawatta,Puttalam,4,21,8.2,1
Cyclone,Iranavila West,Puttalam,6,21,17.4,1
Cyclone,Wennappuwa,Puttalam,12,26,12.3,1
Cyclone,Karuwalagaswewa,Puttalam,10,3,11.0,1
Cyclone,Serukele,Puttalam,3,29,8.0,0
Cyclone,Sandanagama,Puttalam,5,5,14.2,1
Cyclone,Sandanagama,Puttalam,3,5,8.0,1
Cyclone,Dsangaswewa,Puttalam,5,25,14.2,1
Cyclone,Dangaswewa,Puttalam,6,3,17.4,1
Cyclone,Sella Kandal,Puttalam,3,11,8.0,1
Cyclone,Ambakandavila,Puttalam,4,5,8.2,1
Cyclone,Ambakandavila,Puttalam,6,5,17.4,1
Cyclone,Puttalama East,Puttalam,5,30,14.2,1
Cyclone,Pottuvilluwa,Puttalam,5,20,14.2,1
Cyclone,Puttalama East,Puttalam,12,10,12.3,1
Cyclone,Pudukudirippuwa,Puttalam,12,10,12.3,1
Cyclone,Kalpitiya,Puttalam,5,20,14.2,0
Cyclone,Welihena,Puttalam,4,27,8.2,1
Cyclone,Kalpitiya,Puttalam,7,14,16.9,1
Cyclone,Wennappuwa,Puttalam,10,3,11.0,1
Cyclone,Wennappuwa,Puttalam,1,4,12.8,1
Cyclone,Weralabada,Puttalam,8,24,16.4,1
Cyclone,Vanathavilluwa,Puttalam,6,2,17.4,0
Cyclone,Puttalam,Puttalam,5,30,14.2,1
Cyclone,Periya Kurukupane,Puttalam,1,10,12.8,1
Cyclone,Anamaduwa,Puttalam,6,3,17.4,0
Cyclone,Mahakumbukkadawala,Puttalam,6,20,17.4,0
Cyclone,Puttalam,Puttalam,6,29,17.4,0
Cyclone,Karuwalagaswewa,Puttalam,6,14,17.4,0
Cyclone,Pallama,Puttalam,6,15,17.4,0
Cyclone,Arachchikattuwa,Puttalam,6,28,17.4,0
Cyclone,Mahawewa,Puttalam,6,11,17.4,0
Cyclone,Srigampala South,Puttalam,10,24,11.0,1
Cyclone,Nattandiya,Puttalam,10,25,11.0,0
Cyclone,Kirimetiyana,Puttalam,10,24,11.0,1
Cyclone,Mudukatuwa South,Puttalam,5,21,14.2,1
Cyclone,Chilaw,Puttalam,8,28,16.4,0
Cyclone,Arachchikattuwa,Puttalam,8,7,16.4,1
Cyclone,Mudalappaliya,Puttalam,5,21,14.2,0
