Disaster,Location,District,Month,Day,Rainfall(mm),Flood
Flood,Ingiriya,Kaluthara,4,7,137.2,0
Flood,Horana,Kaluthara,5,30,157.5,0
Flood,Payagala Beach Area,Kaluthara,9,17,111.8,1
Flood,Elagahawatta,Kaluthara,6,16,106.7,1
Flood,Kalavilakanda,Kaluthara,5,30,157.5,0
Flood,Walallavita,Kaluthara,9,3,111.8,1
Flood,Gurudola,Kaluthara,5,6,157.5,0
Flood,Walallavita,Kaluthara,5,9,157.5,0
Flood,Kamburawala,Kaluthara,5,28,157.5,0
Flood,Kamburawala,Kaluthara,3,1,45.7,0
Flood,Karapagala,Kaluthara,5,29,157.5,0
Flood,Pelenda West,Kaluthara,5,17,157.5,0
Flood,Morapitiya South,Kaluthara,5,16,157.5,0
Flood,Horana,Kaluthara,5,15,157.5,0
Flood,Madurawala,Kaluthara,5,9,157.5,0
Flood,Mathugama,Kaluthara,5,2,157.5,0
Flood,Dodangoda,Kaluthara,5,25,157.5,0
Flood,Ingiriya,Kaluthara,5,30,157.5,0
Flood,Bulathsinhala,Kaluthara,5,11,157.5,0
Flood,Kalutara,Kaluthara,5,13,157.5,0
Flood,Palindanuwara,Kaluthara,5,25,157.5,0
Flood,Anguruwathota,Kaluthara,3,5,68.6,1
Flood,Anguruwathota,Kaluthara,4,30,137.2,1
Flood,Gurudola,Kaluthara,5,31,157.5,1
Flood,Kamburawala,Kaluthara,5,31,157.5,1
Flood,Kamburawala,Kaluthara,8,16,68.6,1
Flood,Panadura,Kaluthara,4,5,137.2,1
Flood,Walallavita,Kaluthara,5,11,157.5,0
Flood,Bandaragama,Kaluthara,5,23,157.5,0
Flood,Beruwala,Kaluthara,5,30,157.5,0
Flood,Agalawatta,Kaluthara,5,16,157.5,0
Flood,Mathugama,Kaluthara,5,14,157.5,1
Flood,Palindanuwara,Kaluthara,5,14,157.5,1
Flood,Bulathsinhala,Kaluthara,5,14,157.5,1
Flood,Kalutara,Kaluthara,5,14,157.5,1
Flood,Bandaragama,Kaluthara,5,14,157.5,1
Flood,Millaniya,Kaluthara,5,14,157.5,1
Flood,Dodangoda,Kaluthara,5,14,157.5,1
Flood,Beruwala,Kaluthara,5,14,157.5,1
Flood,Madurawala,Kaluthara,5,14,157.5,1
Flood,Ingiriya,Kaluthara,5,14,157.5,1
Flood,Agalawatta,Kaluthara,5,14,157.5,1
Flood,Rathmalgoda East,Kaluthara,5,31,157.5,1
Flood,Etavila,Kaluthara,4,28,137.2,1
Flood,Panadura,Kaluthara,5,1,157.5,0
Flood,Millaniya,Kaluthara,5,25,157.5,0
Flood,Walallavita,Kaluthara,5,31,157.5,1
Flood,Mathugama,Kaluthara,4,20,137.2,1
Flood,Walallavita,Kaluthara,5,13,157.5,0
Flood,Horana,Kaluthara,5,27,157.5,1
Flood,Lathpandura East,Kaluthara,5,31,157.5,1
Flood,Maragahadeniya,Kaluthara,5,31,157.5,1
Flood,Kelinkanda,Kaluthara,5,31,157.5,1
Flood,Palindanuwara,Kaluthara,6,2,106.7,1
Flood,Kapugedara,Kaluthara,5,31,157.5,1
Flood,Athwelthota,Kaluthara,5,31,157.5,1
Flood,Lathpandura,Kaluthara,5,31,157.5,1
Flood,Pelenda West,Kaluthara,5,31,157.5,1
Flood,Morapitiya South,Kaluthara,5,31,157.5,1
Flood,Morapitiya North,Kaluthara,5,31,157.5,1
Flood,Kosgulana,Kaluthara,5,31,157.5,1
Flood,Ingiriya,Kaluthara,6,2,106.7,1
Flood,Millaniya,Kaluthara,6,2,106.7,1
Flood,Dodangoda,Kaluthara,6,2,106.7,1
Flood,Galahitiya,Kaluthara,5,31,157.5,1
Flood,Yakupitiya,Kaluthara,5,31,157.5,1
Flood,Viharagama,Kaluthara,5,31,157.5,1
Flood,Kapugama,Kaluthara,5,31,157.5,1
Flood,Walallavita,Kaluthara,5,27,157.5,1
Flood,Gurudola,Kaluthara,5,27,157.5,1
Flood,Kalavilakanda,Kaluthara,5,27,157.5,1
Flood,Batahena,Kaluthara,5,31,157.5,1
Flood,Midalana,Kaluthara,5,31,157.5,1
Flood,Diganna,Kaluthara,5,31,157.5,1
Flood,Bulathsinhala,Kaluthara,12,24,119.4,0
Flood,Bulathsinhala,Kaluthara,5,7,157.5,0
Flood,Horana,Kaluthara,10,9,203.2,0
Flood,Bulathsinhala,Kaluthara,5,29,157.5,0
Flood,Kamburawala,Kaluthara,11,21,218.4,1
Flood,Ambegoda,Kaluthara,5,31,157.5,1
Flood,Beruwala,Kaluthara,6,2,106.7,1
Flood,Horana,Kaluthara,6,2,106.7,1
Flood,Bellana East,Kaluthara,5,31,157.5,1
Flood,Magura East,Kaluthara,5,31,157.5,1
Flood,Galahitiya,Kaluthara,5,1,157.5,0
Flood,Pelapitiyagoda North,Kaluthara,3,5,68.6,1
Flood,Kalugala,Kaluthara,5,31,157.5,1
Flood,Kalugala,Kaluthara,5,30,157.5,0
Flood,Addaragoda,Kaluthara,5,3,157.5,0
Flood,Pemigala,Kaluthara,5,13,157.5,0
Flood,Athale,Kaluthara,5,14,157.5,0
Flood,Boralugoda,Kaluthara,5,21,157.5,0
Flood,Kamburawala,Kaluthara,10,4,203.2,1
Flood,Magura East,Kaluthara,5,21,157.5,0
Flood,Maragahadeniya,Kaluthara,3,5,68.6,1
Flood,Ittapana North,Kaluthara,3,5,68.6,1
