Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Duration (d),Source,Year,Month,Landslide
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Udumagama(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Udumalama(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Undugoda(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Wathura(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,,Kegalle,2006-11-10,0,Ds Office,2006,11,1
RA2006,RAINS,lka009,lka009002,lka009002012,Diyagama(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
RA2006,RAINS,lka009,lka009002,lka009002012,Ranwala(GN),Kegalle,2006-11-10,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Ruwandeniya(GN),Kegalle,2006-11-13,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Ussapitiya(GN),Kegalle,2006-11-13,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Aranayaka(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Asmadala(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Dagipitiya(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Deiyanwala(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Epalawa Watta(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Galbokka(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Narangammana(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Podape(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Selawa West(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Uduwewela(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Usapitiya(GN),Kegalle,2006-11-14,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Ambalakanda(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Debathgama Pallebage(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Debathgama Udabage(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Deewela Udagama(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Dippitiya(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Gal Athara(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Gammannagoda(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Ganthuna Udagama(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Gevilipitiya Gama(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Godigamuwa(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Hakurugammana(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Hathgampala(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Kalugala(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Kandamulla(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Kandewatta(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Keerapana(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Kumarapura(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Lambutuwa(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Selawa East(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Thalgamuwa(GN),Kegalle,2006-11-15,0,DS OFFICE,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Thalgaspitiya(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Thelleka(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Udagama(GN),Kegalle,2006-11-15,0,Ds Office,2006,11,1
