id,station_name,longitude,latitude,elevation,code,abbreviation,yyyy,1,2,3,4,5,6,7,8,9,10,11,12
43495,GALLE,80.22,6.03,12,5,PRECIP,2010,72.0,98.2,81.3,293.7,795.0,120.4,196.5,137.7,288.0,161.1,431.5,373.7
43495,GALLE,80.22,6.03,12,5,PRECIP,2011,179.0,15.8,277.1,289.1,167.3,91.2,90.8,181.2,104.0,175.4,549.2,188.4
43495,GALLE,80.22,6.03,12,5,PRECIP,2012,15.8,87.3,61.9,447.2,92.3,67.4,65.6,310.7,313.3,519.5,157.6,228.6
43495,GALLE,80.22,6.03,12,5,PRECIP,2013,64.6,37.7,114.1,24.4,182.3,232.7,207.7,33.8,230.4,291.6,286.6,93.2
43495,GALLE,80.22,6.03,12,5,PRECIP,2014,61.0,42.9,68.0,158.7,185.1,246.8,64.7,445.0,311.4,479.6,354.3,260.2
43495,GALLE,80.22,6.03,12,5,PRECIP,2015,68.3,114.8,138.2,171.3,282.1,160.2,249.2,153.3,474.1,316.1,354.1,95.5
43495,GALLE,80.22,6.03,12,5,PRECIP,2016,40.7,250.1,39.4,76.0,440.8,119.1,128.2,76.8,43.9,370.5,332.5,63.4
43495,GALLE,80.22,6.03,12,5,PRECIP,2017,225.1,37.2,82.0,178.5,350.5,94.3,137.3,179.0,239.0,285.7,549.2,75.0
43495,GALLE,80.22,6.03,12,5,PRECIP,2018,11.0,129.0,120.1,169.7,529.6,136.5,132.2,105.5,230.1,424.9,243.0,52.3
43495,GALLE,80.22,6.03,12,5,PRECIP,2019,27.7,120.7,148.2,88.4,269.8,177.4,124.5,426.0,592.6,604.3,309.4,135.3
43495,GALLE,80.22,6.03,12,5,PRECIP,2020,44.2,27.4,17.7,182.5,314.4,138.2,311.3,164.9,448.8,160.2,233.3,155.1
43495,GALLE,80.22,6.03,12,5,PRECIP,2021,195.8,15.4,122.4,407.5,294.8,215.4,202.1,140.0,140.8,216.2,473.7,210.6
43495,GALLE,80.22,6.03,12,5,PRECIP,2022,72.9,118.1,144.2,257.0,505.8,192.7,61.5,184.4,74.6,749.9,162.3,190.4
43495,GALLE,80.22,6.03,12,5,PRECIP,2023,91.1,277.6,230.3,134.2,320.6,240.6,129.4,187.0,695.2,NA,NA,NA
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2010,14.5,1.7,34.6,25.8,123.6,74.5,36.2,48.4,18.6,56.9,223.9,216.5
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2011,197.3,95.6,57.4,99.4,16.1,1.9,7.4,141.9,23.4,111.9,180.3,82.2
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2012,24.5,54.6,75.9,98.4,3.0,53.3,7.8,133.4,134.2,216.2,212.5,280.6
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2013,100.4,170.3,59.4,45.2,126.5,55.0,33.7,0.5,114.2,52.8,147.9,60.4
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2014,2.4,0.0,97.6,13.6,76.1,21.2,5.7,44.5,44.1,255.0,205.4,330.1
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2015,7.5,37.2,57.2,137.7,48.8,18.7,31.9,159.3,300.8,163.8,228.2,125.3
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2016,1.4,40.7,25.0,61.4,178.3,9.7,34.8,7.3,0.1,25.6,178.4,103.5
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2017,157.5,66.7,88.9,81.1,141.9,22.1,19.9,27.5,51.9,76.3,274.3,160.5
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2018,22.7,5.5,93.3,93.5,130.6,42.1,12.9,19.3,54.0,145.4,96.4,98.8
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2019,1.6,100.1,4.2,79.1,50.6,29.5,28.6,164.5,460.3,363.1,197.3,255.2
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2020,16.2,29.2,7.0,91.8,25.9,44.2,91.8,68.0,164.4,11.7,101.5,65.8
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2021,75.5,2.3,111.7,29.7,122.0,23.2,112.0,54.5,81.3,160.7,229.2,205.0
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2022,21.3,15.8,99.3,108.7,NA,41.7,85.5,20.3,5.5,42.6,144.1,80.9
43497,HAMBANTOTA,81.13,6.12,16,5,PRECIP,2023,72.4,138.4,23.3,40.4,104.8,3.7,10.2,30.1,468.0,NA,NA,NA
43404,JAFFNA,80.03,9.68,3,5,PRECIP,2010,47.1,0.0,0.1,66.6,94.5,29.7,5.1,127.5,142.8,115.2,492.2,375.8
43404,JAFFNA,80.03,9.68,3,5,PRECIP,2011,81.0,3.1,1.3,210.9,11.9,1.3,0.7,15.1,31.1,301.1,518.1,295.1
43404,JAFFNA,80.03,9.68,3,5,PRECIP,2012,6.4,0.2,8.3,65.0,7.2,0.0,2.6,8.6,135.4,395.3,80.6,233.6
43404,JAFFNA,80.03,9.68,3,5,PRECIP,2013,151.8,151.1,117.0,53.8,71.9,0.0,0.0,56.3,100.4,81.7,161.9,87.4
43404,JAFFNA,80.03,9.68,3,5,PRECIP,2014,92.8,22.7,0.0,8.5,80.6,8.1,1.6,108.5,35.7,262.1,496.4,251.6
43404,JAFFNA,80.03,9.68,3,5,PRECIP,2015,0.9,18.1,15.4,52.4,215.7,37.6,0.2,59.5,46.7,254.7,757.8,379.9
43404,JAFFNA,80.03,9.68,3,5,PRECIP,2016,15.9,6.4,1.8,0.5,286.0,15.6,0.2,79.6,4.0,48.0,431.6,121.2
43404,JAFFNA,80.03,9.68,3,5,PRECIP,2017,86.7,25.6,119.6,0.0,29.6,10.8,12.7,70.0,91.3,184.0,611.7,100.6
43404,JAFFNA,80.03,9.68,3,5,PRECIP,2018,14.6,20.9,48.6,18.5,102.9,22.0,0.2,27.0,62.5,297.7,373.3,132.6
