Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Day,Rainfall(mm),Wind Speed(mph)
GALE,8,8002,8002009.0,"Kinnarabowa(Gn),Keenagoda(Gn),Elhena (Gn)",Monaragala,2007-12-01,2007,12,1,235.0,7.7
STRONG WIND,6,6002,6002009.0,Dangaswewa(Gn),Puttalam,2007-04-14,2007,4,14,146.7,8.2
GALE,8,8002,8002009.0,"Keenagoda(Gn),Bakinigahawela(Gn),Dahagoniya(Gn) ",Monaragala,2007-07-01,2007,7,1,113.0,11.2
STRONG WIND,6,6002,6002030.0,"Wijayakatupatha Elen M(Gn),Ambakele(Gn)",Puttalam,2007-04-05,2007,4,5,146.7,8.2
FLOOD,3,3002,3002036.0,Watagedara(Gn),Matara,2008-04-06,2008,4,6,193.0,8.5
FLOOD,3,3002,3002042.0,Matara Beach Area,Matara,2008-01-06,2008,1,6,111.0,8.9
STRONG WIND,6,6002,6002024.0,Kottukachchiya(Gn),Puttalam,2007-06-30,2007,6,30,135.0,17.4
LANDSLIDE,9,9001,9001036.0,Kolombugama(Gn),Ratnapura,2007-12-25,2007,12,25,348.0,6.7
GALE,9,9001,9001036.0,Sidurupitiya(Gn),Ratnapura,2007-12-25,2007,12,25,348.0,6.7
STRONG WIND,8,8002,8002006.0,Dambagalla (Gn),Monaragala,2007-05-06,2007,5,6,117.0,8.8
STRONG WIND,8,8002,8002006.0,"Wewupitiya, Puwakgoda ",Monaragala,2007-05-06,2007,5,6,117.0,8.8
STRONG WIND,8,8002,8002006.0,Puwakgoda,Monaragala,2007-05-06,2007,5,6,117.0,8.8
GALE,8,8002,8002003.0,"Kanulwela(Gn),Dehiattawela(Gn),Medipitiya(Gn)",Monaragala,2007-10-14,2007,10,14,306.0,6.9
GALE,8,8002,8002003.0,Mallehewa (Gn),Monaragala,2007-10-27,2007,10,27,306.0,6.9
LANDSLIDE,8,8002,8002003.0,"Kanulwela(Gn),Dehiattawela(Gn),Medipitiya(Gn)",Monaragala,2008-12-03,2008,12,3,235.0,7.7
FLOOD,1,1003,1003036.0,Kamburawala(Gn),Kaluthara,2008-05-31,2008,5,31,157.5,11.6
FLOOD,1,1003,1003036.0,Diggoda(Gn),Kaluthara,2008-05-31,2008,5,31,157.5,11.6
FLOOD,1,1003,1003036.0,Kamburawala(Gn),Kaluthara,2008-05-31,2008,5,31,157.5,11.6
FLOOD,1,1003,1003018.0,Gungamuwa (Gn),Kaluthara,2008-01-06,2008,1,6,58.4,7.7
FLOOD,1,1003,1003039.0,"Yagirala(Gn),Walallavita",Kaluthara,2008-01-06,2008,1,6,58.4,7.7
GALE,8,8002,8002033.0,Mahagama (Gn),Monaragala,2006-08-13,2006,8,13,118.0,10.9
STRONG WIND,2,2002,2002027.0,"Dewagiriya(Gn),Perakanatta(Gn),Wanarawa(Gn)",Matale,2007-04-28,2007,4,28,205.0,3.5
FLOOD,1,1003,1003012.0,"Mahagama(Gn),Delmella(Gn),Ihala Narangala(Gn)",Kaluthara,2008-01-06,2008,1,6,58.4,7.7
FLOOD,8,8002,8002033.0,Punchiwewa (Gn),Monaragala,2007-04-15,2007,4,15,182.0,5.3
STRONG WIND,8,8002,8002033.0,Samagipura (Gn),Monaragala,2007-09-24,2007,9,24,135.0,9.8
STRONG WIND,8,8002,8002033.0,Muthuminigama (Gn),Monaragala,2008-03-14,2008,3,14,103.0,5.7
