Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Puwakdeniya(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Paranagampola(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Siyambalapitiya(GN),Kegalle,2006-11-10,2006,11
RA2006,RAINS,lka009,lka009002,lka009002012,Diyagama(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Golahela(GN),Kegalle,2006-11-10,2006,11
RA2006,RAINS,lka009,lka009002,lka009002012,Ranwala(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Meepitiya(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Kegall Town(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Wathura(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Undugoda(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Wewegama(GN),Badulla,2006-12-19,2006,12
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Kotawera Pahalagama(GN),Badulla,2006-12-18,2006,12
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Alapalawala(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Pannalawela(GN),Badulla,2006-12-16,2006,12
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Paranagama(GN),Badulla,2006-11-12,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Ganthuna Pallegama(GN),Kegalle,2006-11-10,2006,11
LA2007,LANDSLIDE,lka008,lka008001,lka008001027,"Moragolla,Welimada",Badulla,2007-06-14,2007,6
LA2007,LANDSLIDE,lka008,lka008001,lka008001027,Ambagasdoowa(GN),Badulla,2007-11-15,2007,11
LA2007,LANDSLIDE,lka008,lka008001,lka008001027,Sapugolla(GN),Badulla,2007-09-09,2007,9
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Dikella(GN),Kegalle,2006-11-10,2006,11
LA2007,LANDSLIDE,lka008,lka008001,lka008001027,Maspanna(GN),Badulla,2007-11-19,2007,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Eregama(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Godigamuwa(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Dimbulana(GN),Badulla,2006-12-19,2006,12
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Beraliyapola(GN),Badulla,2006-12-19,2006,12
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Ulugala(GN),Badulla,2006-11-19,2006,11
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Udaperuwa(GN),Badulla,2006-11-20,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Nilapalagammana(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002012,Udumalama(GN),Kegalle,2006-11-10,2006,11
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Bambarapana(GN),Badulla,2006-12-20,2006,12
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,Bambarapana(GN),Badulla,2006-12-11,2006,12
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,,Badulla,2006-12-11,2006,12
LA2007,LANDSLIDE,lka008,lka008001,lka008001027,Medawela(GN),Badulla,2007-06-07,2007,6
LA2006,LANDSLIDE,lka008,lka008001,lka008001027,"Halagewatta,Welimada",Badulla,2006-12-11,2006,12
LA2007,LANDSLIDE,lka008,lka008001,lka008001024,,Badulla,2007-12-14,2007,12
LA2007,LANDSLIDE,lka008,lka008001,lka008001024,Nilathugoda(GN),Badulla,2007-12-22,2007,12
LA2007,LANDSLIDE,lka008,lka008001,lka008001024,Uduwara(GN),Badulla,2007-12-23,2007,12
LA2008,LANDSLIDE,lka008,lka008001,lka008001024,,Badulla,2008-03-13,2008,3
LA2008,LANDSLIDE,lka008,lka008001,lka008001024,Kadana(GN),Badulla,2008-03-13,2008,3
LA2008,LANDSLIDE,lka008,lka008001,lka008001024,Uduwara(GN),Badulla,2008-03-13,2008,3
LA2008,LANDSLIDE,lka008,lka008001,lka008001024,Morethota(GN),Badulla,2008-05-04,2008,5
LA2008,LANDSLIDE,lka008,lka008001,lka008001024,Dikwella(GN),Badulla,2008-03-13,2008,3
LA2008,LANDSLIDE,lka008,lka008001,lka008001024,Anthuduwawela(GN),Badulla,2008-03-13,2008,3
RA2002,RAINS,lka007,lka007002,lka007002010,Muthuwella (GN),Polannaruwa,2002-12-22,2002,12
LA2008,LANDSLIDE,lka008,lka008001,lka008001024,Urahella Watta(GN),Badulla,2008-03-13,2008,3
LA2006,LANDSLIDE,lka009,lka009002,lka009002027,,Kegalle,2006-06-20,2006,6
RA2003,RAINS,lka007,lka007002,lka007002010,Muthuwella (GN),Polannaruwa,2003-03-01,2003,3
RA2003,RAINS,lka007,lka007002,lka007002010,Muthuwella (GN),Polannaruwa,2003-02-02,2003,2
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Wadumulla,Kegalle,2006-11-25,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Deiyanwala(GN),Kegalle,2006-11-14,2006,11
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Udagama West(GN),Badulla,2008-01-15,2008,1
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Galbokka(GN),Kegalle,2006-11-14,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Epalawa Watta(GN),Kegalle,2006-11-14,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Dippitiya(GN),Kegalle,2006-11-15,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Usapitiya(GN),Kegalle,2006-11-14,2006,11
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Debathgama Udabage(GN),Kegalle,2006-11-15,2006,11
LA2008,LANDSLIDE,lka008,lka008001,lka008001018,Udagama(GN),Badulla,2008-03-15,2008,3
LA2006,LANDSLIDE,lka009,lka009002,lka009002009,Aranayaka(GN),Kegalle,2006-11-14,2006,11
LA2007,LANDSLIDE,lka008,lka008001,lka008001018,Ambathenna West(GN),Badulla,2007-12-26,2007,12
