Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Rainfall(mm),Wind Speed(mph),Cyclone
ST2000,STRONG WIND,lka008,lka008001,lka008001027,Uva Paranagama,Badulla,2000-08-12,2000,8,74.0,11.0,1
GA2000,GALE,lka008,lka008001,lka008001039,"Viharakele(GN),Ranjallawa(GN),Haputhalegama(GN)",Badulla,2000-08-16,2000,8,74.0,11.0,1
GA2000,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-08-16,2000,8,74.0,11.0,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-08-18,2000,8,300.6,12.1,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Horaketiya(GN),Ratnapura,2000-08-18,2000,8,300.6,12.1,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-19,2000,8,300.6,12.1,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Udagama(GN),Ratnapura,2000-08-19,2000,8,300.6,12.1,1
GA2000,STRONG WIND,lka006,lka006002,lka006002033,Chilaw,Puttalam,2000-08-23,2000,8,109.4,16.4,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-08-23,2000,8,118.0,10.9,1
GA2000,GALE,lka008,lka008002,lka008002012,Siyambalanduwa(GN),Monaragala,2000-08-23,2000,8,118.0,10.9,1
GA2000,GALE,lka008,lka008002,lka008002012,Wattegama(GN),Monaragala,2000-08-23,2000,8,118.0,10.9,1
GA2000,GALE,lka006,lka006002,lka006002033,"Manuwangama West(GN),Manuwangama East (GN),Thissogama(GN)",Puttalam,2000-08-23,2000,8,109.4,16.4,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-26,2000,8,300.6,12.1,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Welanhinna(GN),Ratnapura,2000-08-26,2000,8,300.6,12.1,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-08-31,2000,8,300.6,12.1,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Naluwela(GN),Ratnapura,2000-08-31,2000,8,300.6,12.1,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-09-04,2000,9,135.0,9.8,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Halpe(GN),Ratnapura,2000-09-08,2000,9,353.5,11.2,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Budunwela(GN),Ratnapura,2000-09-08,2000,9,353.5,11.2,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-09-11,2000,9,135.0,9.8,1
GA2000,GALE,lka008,lka008001,lka008001039,"Viharakele(GN),Dodamwatta(GN),Welanhinna(GN)",Badulla,2000-09-27,2000,9,130.0,9.7,1
GA2000,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-09-27,2000,9,130.0,9.7,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-09-28,2000,9,135.0,9.8,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Perakumpura(GN),Monaragala,2000-09-28,2000,9,135.0,9.8,1
ST2000,STRONG WIND,lka005,lka005002,lka005002009,Mahaoya,Ampara,2000-10-04,2000,10,304.5,6.2,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Pallekanda(GN),Ratnapura,2000-10-06,2000,10,561.4,8.2,1
GA2000,GALE,lka001,lka001003,lka001003027,,Kaluthara,2000-10-07,2000,10,203.2,9.6,1
ST2007,STRONG WIND,lka009,lka009001,lka009001045,Handagiriya(GN),Ratnapura,2000-10-07,2000,10,561.4,8.2,1
ST2000,STRONG WIND,lka006,lka006002,lka006002039,Mahawewa,Puttalam,2000-10-20,2000,10,320.7,11.0,1
GA2000,GALE,lka008,lka008002,lka008002012,Siyambalanduwa (GN),Monaragala,2000-10-20,2000,10,306.0,6.9,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-10-20,2000,10,306.0,6.9,1
ST2000,STRONG WIND,lka006,lka006002,lka006002039,"Thoduwawa South (GN), Thoduwawa East (GN), ",Puttalam,2000-10-20,2000,10,320.7,11.0,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-10-23,2000,10,306.0,6.9,1
GA2000,GALE,lka008,lka008002,lka008002012,Perakumpura(GN),Monaragala,2000-10-23,2000,10,306.0,6.9,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Pinnawala(GN),Ratnapura,2000-11-07,2000,11,547.8,6.1,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Kiridigala(GN),Ratnapura,2000-11-08,2000,11,547.8,6.1,1
GA2000,GALE,lka008,lka008002,lka008002012,Buddama(GN),Monaragala,2000-11-09,2000,11,334.0,6.1,1
GA2000,GALE,lka009,lka009001,lka009001009,Kiriella,Ratnapura,2000-11-17,2000,11,547.8,6.1,1
GA2000,GALE,lka009,lka009001,lka009001009,Ellawala Pahalagama(GN),Ratnapura,2000-11-17,2000,11,547.8,6.1,1
GA2000,GALE,lka008,lka008002,lka008002012,Buddama(GN),Monaragala,2000-11-28,2000,11,334.0,6.1,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-11-28,2000,11,334.0,6.1,1
ST2000,STRONG WIND,lka005,lka005002,lka005002018,Malayadikiramam(GN),Ampara,2000-12-04,2000,12,553.1,9.1,1
ST2000,STRONG WIND,lka005,lka005002,lka005002042,Helagampura(GN),Ampara,2000-12-04,2000,12,553.1,9.1,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-12-06,2000,12,235.0,7.7,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-12-06,2000,12,235.0,7.7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Pettigala(GN),Ratnapura,2000-12-07,2000,12,348.0,6.7,1
ST2000,STRONG WIND,lka008,lka008001,lka008001030,Guruthalawa (GN),Badulla,2000-12-08,2000,12,223.0,7.1,1
ST2000,STRONG WIND,lka008,lka008001,lka008001030,"Alugolla (GN), Bogahakumbura (GN), Keppetipola (GN)         ",Badulla,2000-12-08,2000,12,223.0,7.1,1
ST2000,STRONG WIND,lka008,lka008001,lka008001027,"Medawela (GN), Uduhawara (GN)",Badulla,2000-12-08,2000,12,223.0,7.1,1
ST2000,STRONG WIND,lka007,lka007001,lka007001045,Ikiriwewa(GN),Anuradhapura,2000-12-12,2000,12,191.9,9.7,1
ST2000,STRONG WIND,lka007,lka007001,lka007001045,Thambuttegama,Anuradhapura,2000-12-12,2000,12,191.9,9.7,1
GA2000,GALE,lka008,lka008001,lka008001039,"Bingethenna(GN),Pahala Kadurugamuwa(GN),Magiripura(GN)",Badulla,2000-12-14,2000,12,223.0,7.1,1
GA2000,STRONG WIND,lka008,lka008001,lka008001039,Haputale,Badulla,2000-12-14,2000,12,223.0,7.1,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Wattegama(GN),Monaragala,2000-12-20,2000,12,235.0,7.7,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-12-20,2000,12,235.0,7.7,1
GA2000,STRONG WIND,lka006,lka006001,lka006001036,Wariyapola,Kurunegala,2000-12-25,2000,12,139.0,9.3,1
ST2000,STRONG WIND,lka006,lka006001,lka006001018,"Kanagallewa (GN), Aboddagama (GN), Udunowa (GN)             ",Kurunegala,2000-12-25,2000,12,139.0,9.3,1
ST2000,STRONG WIND,lka006,lka006001,lka006001018,Rasnayakapura,Kurunegala,2000-12-25,2000,12,139.0,9.3,1
GA2000,GALE,lka006,lka006001,lka006001036,"Muwanwellegedara(GN),Medagama(GN)",Kurunegala,2000-12-25,2000,12,139.0,9.3,1
CY2000,CYCLONE,lka004,lka004003,,,Vavuniya,2000-12-26,2000,12,235.0,10.1,1
CY2000,CYCLONE,lka005,lka005002,lka005002033,Addalachchenai,Ampara,2000-12-26,2000,12,553.1,9.1,1
CY2000,CYCLONE,lka006,lka006002,lka006002012,Nawagattegama,Puttalam,2000-12-26,2000,12,265.9,12.3,1
CY2000,CYCLONE,lka005,lka005002,lka005002024,Kalmunai Muslim Section (GN),Ampara,2000-12-26,2000,12,553.1,9.1,1
GA2000,STRONG WIND,lka009,lka009001,lka009001003,Eheliyagoda,Ratnapura,2000-12-26,2000,12,348.0,6.7,1
ST2000,STRONG WIND,lka007,lka007001,lka007001003,Padaviya,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka005,lka005003,lka005003006,Kuchchaveli,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka006,lka006002,lka006002006,Vanathavilluwa,Puttalam,2000-12-26,2000,12,265.9,12.3,1
ST2000,STRONG WIND,lka007,lka007001,lka007001021,,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka005,lka005003,lka005003018,Thambalagamuwa,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka005,lka005003,lka005003030,Seruvila,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka005,lka005003,lka005003015,Trincomalee Town and Gravets,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka004,lka004001,lka004001021,Karaveddy East(GN),Jaffna,2000-12-26,2000,12,293.6,14.2,1
CY2000,CYCLONE,lka005,lka005003,lka005003012,Morawewa,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka007,lka007002,lka007002003,Hingurakgoda,Polannaruwa,2000-12-26,2000,12,211.9,8.9,1
CY2000,CYCLONE,lka005,lka005003,lka005003027,Muttur,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka005,lka005003,lka005003012,,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka007,lka007002,lka007002003,,Polannaruwa,2000-12-26,2000,12,211.9,8.9,1
CY2000,CYCLONE,lka006,lka006002,lka006002006,,Puttalam,2000-12-26,2000,12,265.9,12.3,1
CY2000,CYCLONE,lka006,lka006002,lka006002033,"Weerapandiyana (GN), Punchi Vilattawa (GN), Mugunuwatawana",Puttalam,2000-12-26,2000,12,265.9,12.3,1
ST2000,STRONG WIND,lka007,lka007001,lka007001009,Medawachchiya,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka007,lka007002,,,Polannaruwa,2000-12-26,2000,12,211.9,8.9,1
CY2000,CYCLONE,lka005,lka005001,lka005001006,Vahaneri(GN),Batticaloa,2000-12-26,2000,12,305.0,11.0,1
CY2000,CYCLONE,lka007,lka007001,,,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-12-26,2000,12,235.0,7.7,1
CY2000,CYCLONE,lka007,lka007002,lka007002012,Dimbulagala,Polannaruwa,2000-12-26,2000,12,211.9,8.9,1
CY2000,CYCLONE,lka006,lka006002,lka006002042,Nattandiya,Puttalam,2000-12-26,2000,12,265.9,12.3,1
ST2000,STRONG WIND,lka007,lka007001,lka007001024,Horowpothana,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka004,lka004005,,,Kilinochchi,2000-12-26,2000,12,279.6,13.2,1
CY2000,CYCLONE,lka005,lka005001,lka005001009,Koralai Pattu (Valachchenai),Batticaloa,2000-12-26,2000,12,305.0,11.0,1
GA2000,GALE,lka007,lka007001,lka007001045,,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
ST2000,STRONG WIND,lka007,lka007001,lka007001057,Palugaswewa,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
GA2000,STRONG WIND,lka007,lka007001,lka007001045,Thambuttegama,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka005,lka005001,lka005001018,Manmunai North (Batti Town),Batticaloa,2000-12-26,2000,12,305.0,11.0,1
CY2000,CYCLONE,lka006,lka006002,lka006002033,Chilaw,Puttalam,2000-12-26,2000,12,265.9,12.3,1
ST2000,STRONG WIND,lka007,lka007001,lka007001021,Kahatagasdigiliya,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka007,lka007001,lka007001054,Kekirawa,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka005,lka005003,lka005003027,Pallikkudiyiruppu(GN),Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka005,lka005002,,,Ampara,2000-12-26,2000,12,553.1,9.1,1
CY2000,CYCLONE,lka006,lka006002,,,Puttalam,2000-12-26,2000,12,265.9,12.3,1
CY2000,CYCLONE,lka006,lka006002,lka006002012,,Puttalam,2000-12-26,2000,12,265.9,12.3,1
CY2000,CYCLONE,lka005,lka005001,,,Batticaloa,2000-12-26,2000,12,305.0,11.0,1
CY2000,CYCLONE,lka007,lka007001,lka007001063,Galnewa,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka006,lka006002,lka006002042,,Puttalam,2000-12-26,2000,12,265.9,12.3,1
ST2000,STRONG WIND,lka007,lka007001,lka007001006,Kebithigollewa,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka005,lka005003,lka005003033,Verugal/ Echchalampattai,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka005,lka005003,lka005003003,Padavi Sri Pura,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka005,lka005003,lka005003009,Gomarankadawala,Trincomalee,2000-12-26,2000,12,275.0,12.1,1
CY2000,CYCLONE,lka004,lka004001,lka004001021,Vadamaradchi South-west (Karav,Jaffna,2000-12-26,2000,12,293.6,14.2,1
CY2000,CYCLONE,lka005,lka005002,lka005002024,Kalmunai,Ampara,2000-12-26,2000,12,553.1,9.1,1
CY2000,CYCLONE,lka007,lka007001,lka007001063,,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
CY2000,CYCLONE,lka007,lka007001,lka007001054,,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
ST2000,STRONG WIND,lka007,lka007001,lka007001057,,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
ST2000,STRONG WIND,lka007,lka007001,lka007001009,,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
ST2000,STRONG WIND,lka007,lka007001,lka007001006,,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
ST2000,STRONG WIND,lka007,lka007001,lka007001003,,Anuradhapura,2000-12-26,2000,12,191.9,9.7,1
