,District,Year,1,2,3,4,5,6,7,8,9,10,11,12
89,Jaffna,2015,0.9,18.1,15.4,52.4,215.7,37.6,0.2,59.5,46.7,254.7,757.8,379.9
90,Jaffna,2016,15.9,6.4,1.8,0.5,286.0,15.6,0.2,79.6,4.0,48.0,431.6,121.2
91,Jaffna,2017,86.7,25.6,119.6,0.0,29.6,10.8,12.7,70.0,91.3,184.0,611.7,100.6
92,Jaffna,2018,14.6,20.9,48.6,18.5,102.9,22.0,0.2,27.0,62.5,297.7,373.3,132.6
93,Jaffna,2019,0.0,5.9,3.2,36.4,0.0,21.7,89.3,83.1,172.7,446.0,292.2,225.3
94,Jaffna,2020,23.2,17.6,0.0,30.7,39.9,2.7,118.5,33.2,212.6,23.3,339.7,872.9
95,Jaffna,2021,317.5,15.3,1.6,110.4,95.4,50.4,57.0,8.3,54.7,390.7,752.4,189.6
96,Jaffna,2022,181.2,108.3,18.5,185.1,10.3,5.3,73.1,95.0,2.8,479.4,263.2,201.8
98,Kandy,2010,117.7,24.4,80.4,284.2,122.5,189.2,286.0,192.6,107.3,246.3,546.7,468.3
99,Kandy,2011,383.2,305.8,83.2,166.7,70.7,47.9,63.6,49.8,150.8,275.1,102.3,77.5
100,Kandy,2012,40.4,147.3,48.7,173.1,0.9,66.0,135.0,63.6,28.5,596.3,265.0,426.1
101,Kandy,2013,298.7,91.9,71.4,178.7,146.7,296.9,122.0,108.3,155.9,258.2,113.3,83.5
102,Kandy,2014,72.6,33.4,7.6,240.1,121.3,115.2,76.8,96.6,256.6,572.1,308.4,638.4
103,Kandy,2015,5.3,106.4,57.6,157.3,141.5,106.1,54.1,140.2,142.1,413.6,385.6,266.8
104,Kandy,2016,4.1,30.2,131.4,123.2,518.5,82.5,46.7,38.8,7.4,82.8,174.0,60.5
105,Kandy,2017,105.4,62.0,294.4,41.0,147.7,78.4,40.1,103.9,101.1,288.2,197.4,106.1
106,Kandy,2018,20.3,39.5,42.7,215.9,344.5,138.5,48.2,180.7,157.8,450.5,291.6,99.1
107,Kandy,2019,3.6,55.1,20.0,222.9,17.9,82.0,96.8,165.8,72.0,471.2,171.3,164.4
108,Kandy,2020,23.0,3.8,56.9,107.2,316.9,129.5,115.5,114.2,219.1,59.5,160.9,189.3
109,Kandy,2021,143.1,54.6,86.4,285.6,326.9,125.4,165.1,136.6,162.6,438.5,451.6,46.4
112,Katunayaka,2010,52.2,6.3,130.6,310.4,680.1,117.8,51.0,8.1,235.6,201.7,576.9,214.9
113,Katunayaka,2011,26.9,28.2,38.0,272.9,137.8,57.5,66.0,66.4,64.7,404.8,159.9,123.0
114,Katunayaka,2012,12.4,124.0,62.9,328.6,24.3,154.5,44.1,196.7,110.2,567.4,155.8,164.3
115,Katunayaka,2013,122.9,89.2,89.4,76.5,523.5,240.6,157.9,91.2,272.2,164.6,194.3,34.8
116,Katunayaka,2014,26.2,1.5,130.1,193.2,163.0,146.0,110.5,317.7,123.8,369.0,259.0,436.3
117,Katunayaka,2015,6.2,52.5,211.7,160.6,282.5,254.6,20.0,44.9,340.4,275.6,556.4,159.2
118,Katunayaka,2016,2.9,101.8,10.2,42.6,652.7,158.6,22.1,2.5,0.6,126.5,267.8,34.6
119,Katunayaka,2017,26.7,2.6,137.4,16.4,233.6,181.8,35.2,49.5,383.4,417.7,312.7,83.8
120,Katunayaka,2018,23.8,25.8,59.0,268.9,331.8,147.3,35.2,48.6,43.4,460.9,498.3,77.3
121,Katunayaka,2019,0.0,19.0,29.3,217.5,91.4,291.4,114.0,244.7,586.9,369.9,383.6,90.8
122,Katunayaka,2020,35.7,0.0,63.0,251.6,203.1,135.1,206.8,108.6,514.2,63.5,313.8,148.6
123,Katunayaka,2021,166.4,1.0,209.7,201.6,524.2,362.6,123.0,173.1,134.5,568.0,467.8,31.7
126,Kurunegala,2010,85.7,1.5,160.9,332.2,142.5,162.0,93.8,99.0,207.4,275.8,550.5,323.0
127,Kurunegala,2011,177.5,154.4,86.8,634.1,223.0,64.7,36.5,87.0,142.5,155.7,124.0,71.8
128,Kurunegala,2012,11.9,143.4,105.2,239.0,8.3,128.9,66.6,103.3,26.7,356.9,208.2,563.5
129,Kurunegala,2013,194.8,52.9,160.3,132.4,242.9,183.4,65.6,24.5,229.3,297.4,190.1,31.8
130,Kurunegala,2014,29.6,5.1,63.3,576.4,160.2,74.7,53.2,166.9,292.8,527.0,204.1,584.1
131,Kurunegala,2015,5.9,34.3,207.2,367.5,159.8,76.4,20.1,74.3,125.0,282.5,422.0,275.2
