Serial,Disaster,Code Region,Code District,Code Commune,Location,District,Date,Year,Month,Cyclone
40038,GALE,lka008,lka008001,lka008001039,"Pahala Kadurugamuwa(GN),Hela Kadurugamuwa(GN)",Badulla,2000-06-26,2000,6,0
40036,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-06-27,2000,6,0
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-06-28,2000,6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Bulathgama(GN),Ratnapura,2000-06-28,2000,6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-06-30,2000,6,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Thanjanthenna(GN),Ratnapura,2000-06-30,2000,6,1
40051,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-01,2000,7,0
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-07-02,2000,7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-07-03,2000,7,1
GA2000,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-03,2000,7,1
GA2000,GALE,lka009,lka009001,lka009001015,Oluganthota(GN),Ratnapura,2000-07-03,2000,7,1
GA2000,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-05,2000,7,1
GA2000,GALE,lka009,lka009001,lka009001015,Wegapitiya(GN),Ratnapura,2000-07-06,2000,7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Morahela(GN),Ratnapura,2000-07-07,2000,7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-07,2000,7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Muttettuwegama(GN),Ratnapura,2000-07-07,2000,7,1
ST2000,STRONG WIND,lka008,lka008002,lka008002012,Perakumpura (GN),Monaragala,2000-07-08,2000,7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-08,2000,7,1
GA2000,GALE,lka008,lka008001,lka008001039,"Horadorowwa(GN),Pahala kadurugamuwa(GN)",Badulla,2000-07-08,2000,7,1
GA2000,STRONG WIND,lka001,lka001003,lka001003027,Dodangoda,Kaluthara,2000-07-10,2000,7,1
ST2007,STRONG WIND,lka009,lka009001,lka009001045,Weligepola,Ratnapura,2000-07-10,2000,7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-11,2000,7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001018,Balangoda,Ratnapura,2000-07-12,2000,7,1
40047,GALE,lka009,lka009001,lka009001015,Oluganthota(GN),Ratnapura,2000-07-13,2000,7,0
40061,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-14,2000,7,0
40049,GALE,lka009,lka009001,lka009001015,Wegapitiya(GN),Ratnapura,2000-07-15,2000,7,0
40055,STRONG WIND,lka008,lka008002,lka008002012,Perakumpura (GN),Monaragala,2000-07-15,2000,7,0
40063,STRONG WIND,lka008,lka008002,lka008002012,Siyambalanduwa,Monaragala,2000-07-15,2000,7,0
40059,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe(GN),Ratnapura,2000-07-16,2000,7,0
40048,GALE,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-17,2000,7,0
40054,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-17,2000,7,0
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Imbulpe,Ratnapura,2000-07-18,2000,7,1
ST2000,STRONG WIND,lka009,lka009001,lka009001015,Muttettuwegama(GN),Ratnapura,2000-07-18,2000,7,1
