Disaster,Location,District,Year,Month,Day,Wind Speed(mph),Cyclone
Cyclone,Kahawatta,Ratnapura,2006,5,25,0.33,0
Cyclone,Wathupitiya,Ratnapura,2004,5,5,0.33,0
Cyclone,Kahawatta,Ratnapura,2005,10,26,0.26,0
Cyclone,Rawanakanda,Ratnapura,2000,1,22,0.21,0
Cyclone,Doloswala,Ratnapura,2004,5,1,0.33,0
Cyclone,Doloswalakanda,Ratnapura,2004,5,26,0.33,0
Cyclone,Horangala,Ratnapura,2004,5,19,0.33,0
Cyclone,Kuruvita,Ratnapura,2005,3,19,0.13,1
Cyclone,Kiribathgala,Ratnapura,2004,5,11,0.33,0
Cyclone,Kahawatta,Ratnapura,2006,5,16,0.33,0
Cyclone,Kahawatta,Ratnapura,2006,3,15,0.13,0
Cyclone,Yakdehiwatta,Ratnapura,2004,5,27,0.33,0
Cyclone,Kahawatta,Ratnapura,2006,1,30,0.21,0
Cyclone,Kahawatta,Ratnapura,2006,1,26,0.21,0
Cyclone,Kuruvita,Ratnapura,2008,4,22,0.18,1
Cyclone,Elapatha,Ratnapura,2009,2,26,0.18,1
Cyclone,Elapatha,Ratnapura,2009,10,1,0.26,1
